station_id,reservoir,river,wma,prov,wss,district_mun,fsc_mcm_median,n_observations,first_date,last_date
J1R002,Bellair,Brak,8,WCo,,DC3,4.24,52,20240422,20260420
J1R003,Floriskraal,Buffels,8,WCo,,DC5,46.64,52,20240422,20260420
J1R004,Miertjieskraal,Brand,8,WCo,,DC4,1.43,52,20240422,20260420
J2R001,Calitzdorp,Nels,8,WCo,,DC4,4.82,52,20240422,20260420
J2R002,Leeugamka,Leeu,8,WCo,,DC5,13.41,52,20240422,20260420
J2R003,Oukloof,Cordiers,8,WCo,,DC5,4.26,52,20240422,20260420
J2R004,Gamka,Gamka,8,WCo,,DC5,1.73,52,20240422,20260420
J2R006,Gamkapoort,Gamka,8,WCo,,DC5,35.72,52,20240422,20260420
J2R008,Tierkloof,Tributary ofSeweweekspoort,8,WCo,,DC4,0.03,52,20240422,20260420
J3R001,Kammanassie,Kammanassie,8,WCo,,DC4,34.35,52,20240422,20260420
J3R002,Stompdrift,Olifants,8,WCo,,DC4,46.27,52,20240422,20260420
K1R001,Hartebeestkuil,Hartenbos,8,WCo,,DC4,7.13,52,20240422,20260420
K1R002,Klipheuwel,Tributary ofHartenbos,8,WCo,,DC4,4.45,52,20240422,20260420
K2R001,ErnestRobertson,Groot Brak,8,WCo,,DC4,0.41,52,20240422,20260420
K2R002,Wolwedans,Groot Brak,8,WCo,,DC4,24.63,52,20240422,20260420
K3R002,GardenRoute,Swart,8,WCo,,DC4,12.42,52,20240422,20260420
K6R001,Roodefontein,Piesang,8,WCo,,DC4,1.99,52,20240422,20260420
K9R001,Kromrivier,Krom,7,EC,AL,DC10,35.24,52,20240422,20260420
K9R002,Impofu,Krom,7,EC,AL,DC10,105.76,52,20240422,20260420
L8R001,Kouga,Kouga,7,EC,AL,DC10,125.91,52,20240422,20260420
L8R002,Haarlem,Groot,7,WCo,,DC4,4.6,52,20240422,20260420
L9R001,~Loerie,Loeriespruit,7,EC,AL,DC10,3.03,52,20240422,20260420
M1R001,Groendal,Swartkops,7,EC,AL,DC10,11.64,52,20240422,20260420
N1R001,Nqweba,Sondags,7,EC,,DC10,45.38,52,20240422,20260420
N2R001,Darlington,Sondags,7,EC,,DC10,179.84,52,20240422,20260420
P1R003,Nuwejaars,Nuwejaarspruit,7,EC,,DC10,4.56,52,20240422,20260420
Q1R001,~Grassridge,Groot Brak,7,EC,,DC13,44.49,52,20240422,20260420
Q4R001,LakeArthur,Tarka,7,EC,,DC13,11.29,52,20240422,20260420
Q4R002,Kommandodrift,Tarka,7,EC,,DC13,55.95,52,20240422,20260420
Q5L001,~ElandsDrift,Great Fish,7,EC,,DC13,3.55,3,20240422,20240513
Q5R001,~Elandsdrift,Great Fish,7,EC,,,3.55,49,20240923,20260420
Q8R001,~DeMistkraal,Little Fish,7,EC,,DC10,2.05,52,20240422,20260420
Q9L001,GlenMelville,Water fromFish river viaEcca tunnel,7,EC,,DC10,6.23,3,20240422,20240513
Q9R001,Katrivier,Kat,7,EC,,DC12,24.84,52,20240422,20260420
Q9R002,GlenMelville,Water fromFish river viaEcca tunnel,7,EC,,DC10,6.23,49,20240923,20260420
R1R001,Sandile,Keiskamma,7,EC,,DC12,29.66,52,20240422,20260420
R1R002,Cata,Cata,7,EC,,DC12,12.08,52,20240422,20260420
R1R003,Binfield,Tyume,7,EC,,DC12,36.8,52,20240422,20260420
R1R004,Mnyameni,uMnyama,7,EC,,DC12,1.82,52,20240422,20260420
R1R005,Debe,Debe,5,EC,,DC12,6.33,48,20250113,20260420
R2L001,Debe,Debe,7,EC,,DC12,6.33,4,20240422,20240923
R2R001,Laing,Buffalo,7,EC,AM,BUF,18.9,52,20240422,20260420
R2R002,Rooikrans,Buffalo,7,EC,AM,BUF,4.8,52,20240422,20260420
R2R003,Bridle Drift,Buffalo,7,EC,AM,BUF,97.92,52,20240422,20260420
R3R001,Nahoon,Nahoon,7,EC,AM,BUF,19.26,52,20240422,20260420
S1L001,Macubeni,Cacadu,7,EC,,DC13,3.37,4,20240422,20240923
S1R001,Xonxa,White Kei,7,EC,,DC13,115.86,52,20240422,20260420
S1R002,Macubeni,Cacadu,5,EC,,DC13,3.37,48,20250113,20260420
S2R001,Lubisi,Indwe,7,EC,,DC13,113.52,52,20240422,20260420
S2R002,Doornrivier,Doorn,7,EC,,DC13,17.1,52,20240422,20260420
S3L001,Boesmanskrantz,Oxkraal,7,EC,KP,DC13,4.82,4,20240422,20240923
S3R001,Waterdown,Klipplaat,7,EC,KP,DC12,37.44,52,20240422,20260420
S3R003,Oxkraal,Oskraal,7,EC,KP,DC13,14.83,52,20240422,20260420
S3R005,Boesmanskrantz,Oxkraal,5,EC,KP,DC13,4.82,48,20250113,20260420
S5R001,Ncora,Tsomo,7,EC,,DC13,144.85,52,20240422,20260420
S5R002,Tsojana,Tsojana,7,EC,,DC13,12.27,52,20240422,20260420
S6R001,Gubu,Gubu,7,EC,AM,DC12,8.52,52,20240422,20260420
S6R002,Wriggleswade,Kubisi,7,EC,AM,DC12,91.47,52,20240422,20260420
S7R001,~Gcuwa,Gcuwa,7,EC,BW,DC12,0.43,52,20240422,20260420
S7R002,Xilinxa,Xilinxa,7,EC,BW,DC12,13.82,52,20240422,20260420
S7R003,Toleni,Toleni,7,EC,BW,DC12,0.18,52,20240422,20260420
T2R001,Umtata,Mtata,7,EC,,DC15,244.67,52,20240422,20260420
T2R002,Mabeleni,Mhlahlane,7,EC,,DC15,2.1,52,20240422,20260420
T2R003,Corana,Corana,7,EC,,DC15,0.73,52,20240422,20260420
T3R001,Belfort,Mafube,7,EC,,DC44,0.41,52,20240422,20260420
T3R003,Ntenetyana,Ntenetyana,7,EC,,DC44,1.61,52,20240422,20260420
T3R004,Nqadu,Nqadu,7,EC,,DC15,1.27,52,20240422,20260420
T7R001,Mlanga,Mlanga,7,EC,,DC15,1.6,52,20240422,20260420
U2R001,Midmar,Mgeni,4,KN,UM,DC22,235.42,52,20240422,20260420
U2R002,Nagle,Mgeni,4,KN,UM,DC22,23.24,52,20240422,20260420
U2R003,AlbertFalls,Mgeni,4,KN,UM,DC22,285.64,52,20240422,20260420
U2R004,Inanda,Mgeni,4,KN,UM,ETH,237.4,52,20240422,20260420
U3R001,Hazelmere,Mdloti,4,KN,,ETH,37.13,52,20240422,20260420
V1R001,Spioenkop,Tugela,4,KN,,DC23,270.64,52,20240422,20260420
V1R002,~DrielBarrage,Tugela,4,KN,,DC23,8.69,52,20240422,20260420
V1R003,~Woodstock,Tugela,4,KN,IV,DC23,355.42,52,20240422,20260420
V2R001,CraigieBurn,Mnyamvubu,4,KN,,DC22,22.47,52,20240422,20260420
V2R002,Mearns,Mooi,4,KN,,DC22,5.16,52,20240422,20260420
V2R003,SpringGrove,Mooi,4,KN,UM,DC22,139.2,52,20240422,20260420
V3R001,Ntshingwayo,Ngagane,4,KN,,DC25,194.56,52,20240422,20260420
V3R003,Zaaihoek,Slang,4,KN,IV,DC25,184.26,52,20240422,20260420
V7R001,Wagendrift,Boesmans,4,KN,,DC23,55.9,52,20240422,20260420
W1R001,Goedertrouw,Mhlatuze,4,KN,MH,DC28,301.25,52,20240422,20260420
W2R001,Klipfontein,Wit Mfolozi,4,KN,,DC26,18.09,52,20240422,20260420
W3R001,Hluhluwe,Hluhluwe,4,KN,,DC27,25.89,52,20240422,20260420
W4R001,Pongolapoort,Phongolo,4,KN,,DC27,2395.24,52,20240422,20260420
W4R002,Bivane,Bivane,4,KN,,DC26,114.04,52,20240422,20260420
W5R001,Jericho,Mpama,3,M,IV,DC30,58.9,52,20240422,20260420
W5R002,Westoe,Usutu,3,M,IV,DC30,60.1,52,20240422,20260420
W5R003,Morgenstond,Ngwempisi,3,M,IV,DC30,99.99,52,20240422,20260420
W5R004,Heyshope,Assegaai,3,M,IV,DC30,444.94,52,20240422,20260420
X1R001,Nooitgedacht,Komati,3,M,IV,DC30,78.34,52,20240422,20260420
X1R003,Vygeboom,Komati,3,M,IV,DC30,78.02,52,20240422,20260420
X1R004,Driekoppies,Lomati,3,M,,DC32,250.92,52,20240422,20260420
X1R005,^ Maguga,Komati,10,E,,,333.75,52,20240422,20260420
X2R001,Longmere,Wit,3,M,,DC32,4.2,52,20240422,20260420
X2R002,Klipkopjes,Wit,3,M,,DC32,11.78,52,20240422,20260420
X2R003,Witklip,Sand,3,M,,DC32,12.52,52,20240422,20260420
X2R004,Primkop,Wit,3,M,,DC32,1.9,52,20240422,20260420
X2R005,Kwena,Krokodil,3,M,CE,DC32,158.65,52,20240422,20260420
X3R001,Da Gama,WhiteWaters,3,M,,DC32,13.53,52,20240422,20260420
X3R002,Inyaka,Marite,3,M,,DC32,123.66,52,20240422,20260420
