reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,dam_type,dam_height (m),dam_length (m),catchment_area (hectare),surface_area_frl (hectare),capacity_design_total (10^4 m^3),capacity_design_effective (10^4 m^3),capacity_current_total (10^4 m^3),capacity_current_effective (10^4 m^3),main_use,operator,last_capacity_survey_year_roc,coord_source,source_system,source_agency,source_url,last_updated
30502,曾文水庫,,Taiwan,嘉義縣大埔鄉,曾文溪,臺灣南區,23.27858,120.58407,土石壩,134,400,48100,1904,80381.7,68661.7,50613,50479,公共給水、灌溉、觀光、發電、防洪,經濟部水利署南區水資源分署,112.11,ressub:曾文水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30503,南化水庫,,Taiwan,臺南市南化區,曾文溪支流後堀溪、高屏溪支流旗山溪(越域引水),臺灣南區,23.11271,120.55612,土石壩,87.5,510,10852,504.2,15805,14946,8920.1,8920.1,公共給水,台灣自來水股份有限公司,112.12,ressub:南化水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30504,鏡面水庫,,Taiwan,臺南市南化區,曾文溪支流菜寮溪支流鏡面溪,臺灣南區,23.05908,120.49151,混凝土重力壩,36,120,265,11.3,115,98.7,101.5,97.1,公共給水、灌溉,台灣自來水股份有限公司,111.11,ressub:鏡面水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30601,虎頭埤水庫,,Taiwan,臺南市新化區,鹽水溪支流茄苓崁溪,臺灣南區,23.02804,120.34407,土壩,15.3,470,681,26,135.8,135.8,122.2,122.2,灌溉、觀光,農業部農田水利署,108.01,ressub:虎頭埤水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30602,鹽水埤水庫,,Taiwan,臺南市新化區,鹽水溪支流茄苳溪,臺灣南區,23.04175,120.34151,土壩,8.5,420,574.6,11.3,75.6,75.6,47.1,47.1,灌溉,農業部農田水利署,104.04,ressub:鹽水埤水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30801,澄清湖水庫,,Taiwan,高雄市鳥松區,高屏溪(抽水),臺灣南區,22.66063,120.35013,土壩,5.4,1000,358.5,110,435.7,343.1,380.5,259.5,公共給水、灌溉、觀光,台灣自來水股份有限公司,113.01,ressub:澄清湖水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30802,阿公店水庫,,Taiwan,高雄市燕巢區,阿公店溪、高屏溪支流旗山溪(越域引水),臺灣南區,22.81979,120.3628,土壩,31,2380,3187,296.4,1837,1837,1502.7,1502.7,公共給水、灌溉、防洪,經濟部水利署南區水資源分署,112.09,ressub:阿公店水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
31002,甲仙攔河堰,,Taiwan,,,,23.08513,120.58365,,,,,,,,,,,,,ressub:甲仙攔河堰,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
31201,牡丹水庫,,Taiwan,屏東縣牡丹鄉,四重溪支流汝仍溪、牡丹溪,臺灣南區,22.14308,120.78623,滾壓土石壩,65,445.6,6920,141.2,3119,3056,2652.09,2652.09,灌溉、公共給水、觀光,經濟部水利署南區水資源分署,112.12,ressub:牡丹水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
31301,成功水庫,,Taiwan,澎湖縣湖西鄉,港底溪及紅羅越域引水,澎湖地區,23.57436,119.62333,混凝土壩及堆石壩,10.5,463,663,25.3,108.5,104.7,126.9,121.1,公共給水,台灣自來水股份有限公司,111.04,ressub:成功水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50102,興仁水庫,,Taiwan,澎湖縣馬公巿,雙港溪支流及菜園越域引水,澎湖地區,23.55092,119.60775,混凝土重力壩,13,232,285,13.8,67.8,63.7,81.1,72.1,公共給水,台灣自來水股份有限公司,111.04,ressub:興仁水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50103,東衛水庫,,Taiwan,澎湖縣馬公巿,東衛里(天然積水),澎湖地區,23.56683,119.5974,混凝土重力壩,9.5,247.5,130,7.4,19.1,18.5,34.9,34.3,公共給水,台灣自來水股份有限公司,111.04,ressub:東衛水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50104,赤崁地下水庫,,Taiwan,,,,23.66719,119.5874,,,,,,,,,,,,,ressub:赤崁地下水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50105,西安水庫,,Taiwan,澎湖縣望安鄉,西安村(天然積水),澎湖地區,23.36516,119.49749,混凝土重力壩,13,361,82,5.6,24,23.5,22.8,22.7,公共給水,台灣自來水股份有限公司,111.04,ressub:西安水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50106,七美水庫,,Taiwan,澎湖縣七美鄉,東湖村(天然積水),澎湖地區,23.21229,119.43502,土石壩,14,146,114,11.4,22.8,22.8,28.1,28.1,公共給水,台灣自來水股份有限公司,111.04,ressub:七美水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50108,小池水庫,,Taiwan,澎湖縣西嶼鄉,大池村(天然積水),澎湖地區,23.60989,119.51004,土石壩,16,245,105,3.9,19.2,18.9,18.1,17.9,公共給水,台灣自來水股份有限公司,111.04,ressub:小池水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
