station_id,station_name,station_type,country,admin_unit,division,river_basin,lat,lon,normal_level (m),alert_level (m),warning_level (m),danger_level (m),wl_datum (based on),source_agency,source_url,last_updated
MY_DIDSRWK_101077,Long Moh,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.054111111,115.0762778,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101078,Long Anap,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.063916667,114.8195,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101079,Sungai Merah,Water,Malaysia,Sarawak,Sibu,Batang Rajang,2.324638889,111.8433778,,2.80,3.00,3.10,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101081,Bintangor,Combine,Malaysia,Sarawak,Sarikei,Batang Rajang,2.167645,111.632077,,2.48,2.60,3.30,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101082,Pakan,Rainfall,Malaysia,Sarawak,Sarikei,Batang Rajang,1.898403,111.679775,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101083,Banyi,Rainfall,Malaysia,Sarawak,Sarikei,Batang Rajang,1.861753,111.934049,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101084,Uka,Rainfall,Malaysia,Sarawak,Sibu,Batang Rajang,2.03196,112.26274,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101085,Nanga Jagau,Rainfall,Malaysia,Sarawak,Sibu,Batang Rajang,1.88223,112.31082,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101086,Julau,Rainfall,Malaysia,Sarawak,Sarikei,Batang Rajang,2.030119,111.909239,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101087,Nanga Machan B,Combine,Malaysia,Sarawak,Sibu,Batang Rajang,2.028472222,112.0305556,3.00,8.00,9.00,10.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101088,Nanga Ngemah,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,2.023277778,112.4069167,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101089,Song B,Combine,Malaysia,Sarawak,Kapit,Batang Rajang,2.01150,112.54303,5.59,10.59,11.59,12.59,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101090,Sungai Nawang,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,1.647,112.2775,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101091,Rumah Andau,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,1.68252777777778,112.418722222222,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101092,Nanga Bangkit,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,1.771944451037980,112.6366670,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101094,Rumah Gual,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,1.877555556,112.7468056,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101095,Renan Kemiding,Combine,Malaysia,Sarawak,Sibu,Batang Rajang,2.061927778,112.1523556,,6.21,7.21,7.71,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101096,Nanga Semah,Combine,Malaysia,Sarawak,Mukah,Batang Rajang,2.356838889,111.5152194,,4.00,4.20,4.40,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101097,Paloh Bangau,Combine,Malaysia,Sarawak,Mukah,Batang Rajang,2.42030555555555,111.252805555555,,5.10,5.30,5.50,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101098,Daro,Combine,Malaysia,Sarawak,Mukah,Batang Rajang,2.527194444,111.4331389,,5.30,5.60,5.90,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101099,Matu,Combine,Malaysia,Sarawak,Mukah,Batang Matu,2.674194444,111.5341389,0.84,1.74,2.64,3.34,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101100,Sungai Dausan,Combine,Malaysia,Sarawak,Mukah,Batang Rajang,2.504333333,111.7054722,,6.00,6.30,6.60,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101102,Sibu New Airport,Rainfall,Malaysia,Sarawak,Sibu,Batang Rajang,2.25825,111.98491,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101103,Sungai Maleng,Rainfall,Malaysia,Sarawak,Mukah,Batang Rajang,2.35876,111.41156,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101104,Tanjung Kabang,Combine,Malaysia,Sarawak,Mukah,Batang Rajang,2.60106944444444,111.826411111111,,5.20,5.40,5.60,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101105,Durin Water Works,Rainfall,Malaysia,Sarawak,Sibu,Batang Rajang,2.13404,111.97236,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101107,Sungai Salim B,Combine,Malaysia,Sarawak,Sibu,Batang Rajang,2.238444444,111.8875,,2.65,2.80,3.10,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101108,Sarikei DID,Combine,Malaysia,Sarawak,Sarikei,Batang Rajang,2.126017,111.532242,,2.70,3.00,3.30,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101109,Nanga Ayam,Water,Malaysia,Sarawak,Sarikei,Batang Rajang,1.945453,111.900884,8.45,18.45,18.95,19.45,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101110,Ambas,Water,Malaysia,Sarawak,Sarikei,Batang Rajang,1.975141,111.516229,3.96,6.92,7.42,7.92,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101112,Kapit New Headworks,Combine,Malaysia,Sarawak,Kapit,Batang Rajang,2.016991,112.953003,6.25,12.10,15.00,15.80,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101113,Nanga Entawau,Combine,Malaysia,Sarawak,Kapit,Batang Rajang,1.82145,113.68181,4.60,11.30,12.30,12.80,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101114,Belaga,Combine,Malaysia,Sarawak,Kapit,Batang Rajang,2.70677777777777,113.785,41.06,47.30,50.90,52.00,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101115,Telok Buing,Water,Malaysia,Sarawak,Kapit,Batang Rajang,1.99791,113.22426,1.98,10.00,11.00,12.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101116,Nanga Benin B,Water,Malaysia,Sarawak,Kapit,Batang Rajang,2.169496,113.057034,13.46,20.60,21.60,22.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101117,Oya Water Works,Combine,Malaysia,Sarawak,Mukah,Batang Oya,2.855361111,111.8740556,,4.00,4.50,5.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101118,Mukah JKR,Combine,Malaysia,Sarawak,Mukah,Batang Mukah,2.90425,112.0939444,,1.20,1.50,1.70,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101119,Kuala Balingian,Combine,Malaysia,Sarawak,Mukah,Batang Balingian,3.013833333,112.5861111,,0.80,1.10,1.40,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101120,Dalat Wharf,Combine,Malaysia,Sarawak,Mukah,Batang Oya,2.74258333,111.9380278,,3.80,4.20,4.68,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101121,Kampung Sunting,Rainfall,Malaysia,Sarawak,Mukah,Batang Mukah,2.768194444,112.1923056,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
