date,station_id,reservoir,river,wma,prov,wss,fsc_mcm,water_mcm,pct_last_year,pct_last_week,pct_full,district_mun
20240422,J2R008,Tierkloof,Tributary ofSeweweekspoort,8,WCo,,0.03,0.03,99.9,,100,DC4
20240422,J3R001,Kammanassie,Kammanassie,8,WCo,,34.35,34.46,15.3,,100.3,DC4
20240422,J3R002,Stompdrift,Olifants,8,WCo,,46.27,23.31,26.8,,50.4,DC4
20240422,K1R001,Hartebeestkuil,Hartenbos,8,WCo,,7.13,5.53,4.6,,77.5,DC4
20240422,K1R002,Klipheuwel,Tributary ofHartenbos,8,WCo,,4.45,1.61,42.4,,36.2,DC4
20240422,K2R001,ErnestRobertson,Groot Brak,8,WCo,,0.41,0.42,99.9,,101,DC4
20240422,K2R002,Wolwedans,Groot Brak,8,WCo,,24.63,24.64,100,,100,DC4
20240422,K3R002,GardenRoute,Swart,8,WCo,,12.42,12.42,87.4,,100,DC4
20240422,K6R001,Roodefontein,Piesang,8,WCo,,1.99,1.47,62.6,,73.6,DC4
20240422,K9R001,Kromrivier,Krom,7,EC,AL,35.24,32.72,25.3,,92.9,DC10
20240422,K9R002,Impofu,Krom,7,EC,AL,105.76,43.43,6.5,,41.1,DC10
20240422,L8R001,Kouga,Kouga,7,EC,AL,125.91,113.28,14.7,,90,DC10
20240422,L8R002,Haarlem,Groot,7,WCo,,4.6,4.64,100.5,,100.8,DC4
20240422,L9R001,~Loerie,Loeriespruit,7,EC,AL,3.03,2.46,46,,81.3,DC10
20240422,M1R001,Groendal,Swartkops,7,EC,AL,11.64,10.82,18,,93,DC10
20240422,N1R001,Nqweba,Sondags,7,EC,,44.72,44.72,32.5,,100,DC10
20240422,N2R001,Darlington,Sondags,7,EC,,179.84,89,45.2,,49.5,DC10
20240422,P1R003,Nuwejaars,Nuwejaarspruit,7,EC,,4.56,0.69,4.6,,15,DC10
20240422,Q1R001,~Grassridge,Groot Brak,7,EC,,44.49,43.61,96.9,,98,DC13
20240422,Q4R001,LakeArthur,Tarka,7,EC,,11.29,6.83,58,,60.5,DC13
20240422,Q4R002,Kommandodrift,Tarka,7,EC,,55.87,44.05,100.1,,78.8,DC13
20240422,Q5L001,~ElandsDrift,Great Fish,7,EC,,3.55,2.88,69.7,,81.2,DC13
20240422,Q8R001,~DeMistkraal,Little Fish,7,EC,,2.05,1.49,90.8,,72.8,DC10
20240422,Q9L001,GlenMelville,Water fromFish river viaEcca tunnel,7,EC,,6.23,6.09,77.4,,97.8,DC10
20240422,Q9R001,Katrivier,Kat,7,EC,,24.84,23.71,100.3,,95.5,DC12
20240422,R1R001,Sandile,Keiskamma,7,EC,,29.66,27.38,100.5,,92.3,DC12
20240422,R1R002,Cata,Cata,7,EC,,12.08,10.85,99.8,,89.8,DC12
20240422,R1R003,Binfield,Tyume,7,EC,,36.83,35.18,99.5,,95.5,DC12
20240422,R1R004,Mnyameni,uMnyama,7,EC,,1.82,1.78,97.4,,97.8,DC12
20240422,R2L001,Debe,Debe,7,EC,,6.33,1.83,29.1,,28.9,DC12
20240422,R2R001,Laing,Buffalo,7,EC,AM,18.9,18.99,100.1,,100.4,BUF
20240422,R2R002,Rooikrans,Buffalo,7,EC,AM,4.8,4.79,98.1,,99.8,BUF
20240422,R2R003,Bridle Drift,Buffalo,7,EC,AM,97.92,90.04,98.3,,92,BUF
20240422,R3R001,Nahoon,Nahoon,7,EC,AM,19.26,16.01,95.5,,83.2,BUF
20240422,S1L001,Macubeni,Cacadu,7,EC,,3.37,3.37,100,,100,DC13
20240422,S1R001,Xonxa,White Kei,7,EC,,115.86,116.25,100.3,,100.3,DC13
20240422,S2R001,Lubisi,Indwe,7,EC,,113.52,73.14,99.3,,64.4,DC13
20240422,S2R002,Doornrivier,Doorn,7,EC,,17.1,15.73,103.3,,92,DC13
20240422,S3L001,Boesmanskrantz,Oxkraal,7,EC,KP,4.82,3.82,100,,79.3,DC13
20240422,S3R001,Waterdown,Klipplaat,7,EC,KP,37.44,37.34,100.2,,99.7,DC12
20240422,S3R003,Oxkraal,Oskraal,7,EC,KP,14.83,13.43,100,,90.6,DC13
20240422,S5R001,Ncora,Tsomo,7,EC,,147.28,146.86,99.9,,99.7,DC13
20240422,S5R002,Tsojana,Tsojana,7,EC,,12.27,12.27,100,,100,DC13
20240422,S6R001,Gubu,Gubu,7,EC,AM,8.52,8.52,100,,100,DC12
20240422,S6R002,Wriggleswade,Kubisi,7,EC,AM,91.47,91.57,100.4,,100.1,DC12
20240422,S7R001,~Gcuwa,Gcuwa,7,EC,BW,0.43,0.42,108,,98.4,DC12
20240422,S7R002,Xilinxa,Xilinxa,7,EC,BW,13.82,13.07,99.2,,94.5,DC12
20240422,S7R003,Toleni,Toleni,7,EC,BW,0.18,0.16,89,,88.6,DC12
20240422,T2R001,Umtata,Mtata,7,EC,,244.67,246.13,100.9,,100.6,DC15
20240422,T2R002,Mabeleni,Mhlahlane,7,EC,,2.1,2.1,100,,100,DC15
20240422,T2R003,Corana,Corana,7,EC,,0.73,0.68,98.4,,94.2,DC15
20240422,T3R001,Belfort,Mafube,7,EC,,0.41,0.4,97.2,,97.2,DC44
20240422,T3R003,Ntenetyana,Ntenetyana,7,EC,,1.61,1.65,102.2,,101.9,DC44
20240422,T3R004,Nqadu,Nqadu,7,EC,,1.27,1.22,99.3,,96.1,DC15
20240422,T7R001,Mlanga,Mlanga,7,EC,,1.6,1.45,95.2,,90.6,DC15
20240422,U2R001,Midmar,Mgeni,4,KN,UM,235.42,236.13,98.4,,100.3,DC22
20240422,U2R002,Nagle,Mgeni,4,KN,UM,23.24,23.38,96,,100.6,DC22
20240422,U2R003,AlbertFalls,Mgeni,4,KN,UM,285.64,288.95,99.3,,101.2,DC22
20240422,U2R004,Inanda,Mgeni,4,KN,UM,237.4,241.56,101.2,,101.8,ETH
20240422,U3R001,Hazelmere,Mdloti,4,KN,,37.13,30.79,56.3,,82.9,ETH
20240422,V1R001,Spioenkop,Tugela,4,KN,,270.64,271.82,99.8,,100.4,DC23
20240422,V1R002,~DrielBarrage,Tugela,4,KN,,8.69,8.4,191.6,,96.7,DC23
20240422,V1R003,~Woodstock,Tugela,4,KN,IV,355.42,337.13,95.3,,94.9,DC23
20240422,V2R001,CraigieBurn,Mnyamvubu,4,KN,,22.47,22.57,100.3,,100.5,DC22
20240422,V2R002,Mearns,Mooi,4,KN,,5.16,5.65,109.6,,109.3,DC22
20240422,V2R003,SpringGrove,Mooi,4,KN,UM,139.2,140.7,99.8,,101.1,DC22
20240422,V3R001,Ntshingwayo,Ngagane,4,KN,,194.56,153.02,81.7,,78.6,DC25
20240422,V3R003,Zaaihoek,Slang,4,KN,IV,184.26,167.01,99.4,,90.6,DC25
20240422,V7R001,Wagendrift,Boesmans,4,KN,,55.9,56.9,100.5,,101.8,DC23
20240422,W1R001,Goedertrouw,Mhlatuze,4,KN,MH,301.25,295.57,100.1,,98.1,DC28
20240422,W2R001,Klipfontein,Wit Mfolozi,4,KN,,18.09,18.2,100,,100.7,DC26
20240422,W3R001,Hluhluwe,Hluhluwe,4,KN,,25.89,25.97,100.4,,100.3,DC27
20240422,W4R001,Pongolapoort,Phongolo,4,KN,,2395.24,2065.95,84.5,,86.3,DC27
20240422,W4R002,Bivane,Bivane,4,KN,,114.04,115.27,100.7,,101.1,DC26
20240422,W5R001,Jericho,Mpama,3,M,IV,59.27,41.18,88.6,,69.5,DC30
20240422,W5R002,Westoe,Usutu,3,M,IV,60.1,42.39,92.9,,70.5,DC30
