obs_date,reservoir_id,variable,value,source_kind,bulletin_file,fetched_at
2023-01-19,MUDA,storage_pct,72.13,prose,BH035_19.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-20,CAHORA BASSA,storage_pct,83.21,prose,BH036_20.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-20,CHICAMBA,storage_pct,55.5,prose,BH036_20.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-20,MUDA,outflow_m3s,1.5,prose,BH036_20.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-20,MUDA,storage_pct,73.16,prose,BH036_20.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,CAHORA BASSA,storage_pct,84.1,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,CHICAMBA,outflow_m3s,31.5,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,CHICAMBA,storage_pct,55.5,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,MUDA,outflow_m3s,1.5,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-23,MUDA,storage_pct,73.16,prose,BH037_23.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-24,CAHORA BASSA,storage_pct,85.37,prose,BH038_24.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-24,MUDA,outflow_m3s,1.5,prose,BH038_24.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-24,MUDA,storage_pct,72.13,prose,BH038_24.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,CAHORA BASSA,outflow_m3s,1870.88,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,CAHORA BASSA,storage_pct,86.8,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,CHICAMBA,outflow_m3s,29.8,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,CHICAMBA,storage_pct,55.55,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,MUDA,outflow_m3s,1.5,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-01-26,MUDA,storage_pct,72.13,prose,BH040_26.01.2023.pdf,2026-08-16 05:16:21Z
2023-02-01,CAHORA BASSA,outflow_m3s,2944.68,prose,BH044_01.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-01,MUDA,outflow_m3s,1.5,prose,BH044_01.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-03,CAHORA BASSA,outflow_m3s,2945.23,prose,BH046_03.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-03,CAHORA BASSA,storage_pct,90.47,prose,BH046_03.02.2023.pdf,2026-09-01 09:37:44Z
