流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
海河流域,海委,滦河,大黑汀,04-04 08:00,132.2,0.07,6,2026-04-04,2026-04-03 20:57:32,4
海河,河北,青龙河,桃林口水库,04-04 08:00,137.76,-0.11,7,2026-04-04,2026-04-03 20:57:32,4
海河,河北,白洋淀,新安,07-10 08:00,8.41,0.01,8,2026-04-04,2026-04-03 20:57:32,4
海河,河北,白洋淀,端村,07-10 08:00,8.23,-0.01,9,2026-04-04,2026-04-03 20:57:32,4
海河,河北,白洋淀,王家寨,07-10 08:00,7.25,-0.01,10,2026-04-04,2026-04-03 20:57:32,4
海河,北京,白河,密云白河坝上,04-04 08:00,153.14,-0.04,11,2026-04-04,2026-04-03 20:57:32,4
海河,北京,永定河,官厅水库,04-04 08:00,476.99,-0.01,12,2026-04-04,2026-04-03 20:57:32,4
海河,河北,白洋淀,十方院（白）（堰上）,04-04 08:00,8.32,-0.01,13,2026-04-04,2026-04-03 20:57:32,4
海河,河北,滹沱河,岗南水库（坝上）,04-04 08:00,196.71,-0.07,14,2026-04-04,2026-04-03 20:57:32,4
海河,河北,滹沱河,黄壁庄水库(坝上）,04-04 08:00,113.43,-0.11,15,2026-04-04,2026-04-03 20:57:32,4
海河流域,海委,漳河,岳城水库 (坝上),04-04 08:00,144.44,-0.2,16,2026-04-04,2026-04-03 20:57:32,4
黄河,河南,黄河,小浪底水库,04-04 08:00,262.43,−0.23,17,2026-04-04,2026-04-03 20:57:32,4
淮河,安徽,淠东干渠,安丰塘,04-04 08:00,29.16,,18,2026-04-04,2026-04-03 20:57:32,4
淮河,河南,沥河,南湾,04-04 08:00,98.53,,19,2026-04-04,2026-04-03 20:57:32,4
淮河,河南,汝河,板桥,04-04 08:00,110.95,,20,2026-04-04,2026-04-03 20:57:32,4
淮河,河南,灌河,鲇鱼山,04-04 08:00,101.71,0.03,21,2026-04-04,2026-04-03 20:57:32,4
淮河,河南,沙河,昭平台,04-04 08:00,164.73,0.02,22,2026-04-04,2026-04-03 20:57:32,4
淮河,河南,沙河,白山,04-04 08:00,100,,23,2026-04-04,2026-04-03 20:57:32,4
淮河,江苏,洪泽湖,洪泽湖,04-04 08:00,13.56,0.06,24,2026-04-04,2026-04-03 20:57:32,4
淮河,江苏,骆马湖,骆马湖水库,04-04 08:00,23.21,0.02,0,2026-04-04,2026-04-03 20:57:32,5
淮河,江苏,新术河,石梁河水库,04-04 08:00,24.09,-0.01,1,2026-04-04,2026-04-03 20:57:32,5
长江,湖北,长江,三峡,04-04 08:00,165.06,0.02,2,2026-04-04,2026-04-03 20:57:32,5
长江,湖北,南河,寺坪,04-04 08:00,309.16,0.02,3,2026-04-04,2026-04-03 20:57:32,5
长江,湖北,粉青河,马桥,04-04 08:00,474.32,−0.21,4,2026-04-04,2026-04-03 20:57:32,5
长江,湖北,黑清河,黑清河,04-04 08:00,81.08,,5,2026-04-04,2026-04-03 20:57:32,5
长江,湖南,资水,柘溪,04-04 08:00,161.17,1.93,6,2026-04-04,2026-04-03 20:57:32,5
长江,湖南,沅水,五强溪,04-04 08:00,103.38,0.76,7,2026-04-04,2026-04-03 20:57:32,5
长江,湖南,酉水,凤滩,04-04 08:00,189.77,0.98,8,2026-04-04,2026-04-03 20:57:32,5
长江,湖南,溇水,江亚,04-04 08:00,217.9,0.2,9,2026-04-04,2026-04-03 20:57:32,5
长江,湖北,富水,富水,04-04 08:00,51.13,0.06,10,2026-04-04,2026-04-03 20:57:32,5
