reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,capacity_total (TMC),dead_storage (TMC),frl (m),dam_height (m),year_built,main_use,data_type,source_agency,source_url,last_updated,detail_slug,location,data_period_start,data_period_end
IN_APWRIMS_damodaram_sagaram_089338af,DAMODARAM SAGARAM,DAMODARAM SAGARAM,India,Andhra Pradesh / Telangana,Raikiloyagedda,other,18.393083,84.140706,0.567,0,50.999,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:29,089338af-eaa5-4a94-8866-89839c8b045c,Srikakulam,2026-05-07,2026-06-28
IN_APWRIMS_cum_bum_tank_7d3fce4b,CUM BUM TANK,CUM BUM TANK,India,Andhra Pradesh / Telangana,Gundlakamma,other,15.590739,79.090442,2.952,0,203.207,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:30,7d3fce4b-7d20-4039-ae7e-65122b662eae,Prakasam,2026-05-07,2026-06-28
IN_APWRIMS_kalingadal_project_6debdff4,KALINGADAL PROJECT,KALINGADAL PROJECT,India,Andhra Pradesh / Telangana,Kalingadal,other,18.947136,84.434228,0.15,0.02,82,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:31,6debdff4-2932-448f-9cde-e3bc566e05b4,Srikakulam,2026-05-07,2026-06-28
IN_APWRIMS_gotta_barrage_129ef2e7,GOTTA BARRAGE,GOTTA BARRAGE,India,Andhra Pradesh / Telangana,Vamsadara,other,18.688889,83.963056,0.662,0.04,38.1,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:32,129ef2e7-05f7-409f-bfca-2dda47669060,Srikakulam,2026-05-07,2026-06-28
IN_APWRIMS_mopadu_reservoir_project_a4086f01,MOPADU RESERVOIR PROJECT,MOPADU RESERVOIR PROJECT,India,Andhra Pradesh / Telangana,Manneru,other,15.105992,79.481878,2.091,0.06,100.154,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:33,a4086f01-47d9-435e-8bc8-16967e03f033,Prakasam,2026-05-13,2026-06-25
IN_APWRIMS_gajjiligedda_reservoir_219808bd,GAJJILIGEDDA RESERVOIR,GAJJILIGEDDA RESERVOIR,India,Andhra Pradesh / Telangana,Gajjiligedda,other,18.573692,83.82925,0.05,0.01,108.5,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:34,219808bd-c4c0-41f8-b5c0-517600c78f14,Srikakulam,2026-05-11,2026-06-27
IN_APWRIMS_rallapadu_reservoir_5e347ef6,RALLAPADU RESERVOIR,RALLAPADU RESERVOIR,India,Andhra Pradesh / Telangana,Manneru,other,15.055222,79.718883,1.106,0.03,41.163,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:35,5e347ef6-c791-4753-a7b5-e1fb79b6d633,Prakasam,2026-05-07,2026-06-28
IN_APWRIMS_yeleru_reservoir_2047859b,YELERU RESERVOIR,YELERU RESERVOIR,India,Andhra Pradesh / Telangana,YELERU,other,17.30794,82.09538,24.11,6.16,86.56,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:36,2047859b-a4c5-4f4b-a9e6-35d06bdf0fab,"East Godavari, Vizag",2026-05-07,2026-06-28
IN_APWRIMS_maddigedda_project_da004729,MADDIGEDDA PROJECT,MADDIGEDDA PROJECT,India,Andhra Pradesh / Telangana,Janjhavathi,Godavari,17.485811,82.011967,0.484,0.05,188.001,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:37,da004729-21dc-4987-829e-4dda45350d2a,East Godavari,2026-05-07,2026-06-28
IN_APWRIMS_surempalem_reservoir_8a964e98,SUREMPALEM RESERVOIR,SUREMPALEM RESERVOIR,India,Andhra Pradesh / Telangana,Torrigedda,Godavari,17.336397,81.902622,0.28,0.03,105.122,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:37,8a964e98-4ee4-482c-89f8-aa665b257965,East Godavari,2026-05-07,2026-06-28
IN_APWRIMS_bhupatipalem_reservoir_2648f159,BHUPATIPALEM RESERVOIR,BHUPATIPALEM RESERVOIR,India,Andhra Pradesh / Telangana,Seethapallivagu,Godavari,17.446894,81.76515,0.645,0.14,204,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:38,2648f159-1f97-4b04-bdd9-24d5fd3c6f08,East Godavari,2026-05-07,2026-06-28
IN_APWRIMS_gundlakamma_reservoir_f03b0998,GUNDLAKAMMA RESERVOIR,GUNDLAKAMMA RESERVOIR,India,Andhra Pradesh / Telangana,Gundlakamma,other,15.660731,79.986819,3.86,1.37,24.381,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:39,f03b0998-3644-4e67-9a16-e7258c136475,Prakasam,2026-05-07,2026-06-28
IN_APWRIMS_sir_aurthur_cotton_barrage_06d4797e,SIR AURTHUR COTTON BARRAGE,SIR AURTHUR COTTON BARRAGE,India,Andhra Pradesh / Telangana,Godavari,Godavari,16.93621,81.760692,2.93,1.2,14.021,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:40,06d4797e-33e0-499f-b6b4-f34f8ffc1191,"East Godavari, West Godavari",2026-05-07,2026-06-28
IN_APWRIMS_gandipalem_reservoir_project_dac92ec0,GANDIPALEM RESERVOIR PROJECT,GANDIPALEM RESERVOIR PROJECT,India,Andhra Pradesh / Telangana,pillaperu,other,14.99076,79.298055,1.88,0.18,147.831,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:41,dac92ec0-e1ac-4383-81cd-43c569d0af1e,Nellore,2026-05-07,2026-06-28
IN_APWRIMS_tandava_reservoir_d61f5d35,TANDAVA RESERVOIR,TANDAVA RESERVOIR,India,Andhra Pradesh / Telangana,Thandava,other,17.61137,82.43734,4.96,0.56,115.824,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:42,d61f5d35-82fe-4361-a05a-b067cba27fe5,"Visakhapatnam, East Godavari",2026-05-07,2026-06-28
IN_APWRIMS_varaha_reservoir_79562fd0,VARAHA RESERVOIR,VARAHA RESERVOIR,India,Andhra Pradesh / Telangana,sarpa,other,17.810864,82.675333,0.465,0.03,140.208,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:43,79562fd0-acce-4b24-92d9-6d6a8590b59d,Visakhapatnam,2026-05-09,2026-06-28
IN_APWRIMS_sangam_anicut_barrge_16ae6e6a,SANGAM ANICUT / BARRGE,SANGAM ANICUT / BARRGE,India,Andhra Pradesh / Telangana,Pennar,pennar,14.573092,79.747424,0.45,0,34.205,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:44,16ae6e6a-58e7-4354-bc0a-b89ea57b3853,Nellore,2026-05-07,2026-06-28
IN_APWRIMS_pedderu_reservoir_11865ac5,PEDDERU RESERVOIR,PEDDERU RESERVOIR,India,Andhra Pradesh / Telangana,pedderu,other,17.899131,82.695008,0.358,0.04,136.91,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:45,11865ac5-953d-4ca9-bcbf-5f6a5f98c348,visakhapatnam,2026-05-07,2026-06-28
IN_APWRIMS_kanigiri_reservoir_19a1219a,KANIGIRI RESERVOIR,KANIGIRI RESERVOIR,India,Andhra Pradesh / Telangana,Pennar,Pennar,14.557076,79.869972,3.45,0.01,30.075,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:46,19a1219a-34e9-43f9-9f48-f04299108349,Nellore,2026-05-07,2026-06-28
IN_APWRIMS_konam_reservoir_1a361403,KONAM RESERVOIR,KONAM RESERVOIR,India,Andhra Pradesh / Telangana,Sarada,other,17.966141,82.854162,0.85,0.02,101.181,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:47,1a361403-398b-499d-98c7-f750c57ceb3f,Visakhapatnam,2026-05-07,2026-06-28
IN_APWRIMS_kandaleru_reservoir_04affbff,KANDALERU RESERVOIR,KANDALERU RESERVOIR,India,Andhra Pradesh / Telangana,TGP,pennar,14.27964,79.60306,68.03,4.73,85.006,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:48,04affbff-36d4-458a-9c32-baa64eb6eab0,"Kurnool, Cuddapah, Nellore, Chittoor",2026-05-08,2026-06-25
